AGENT_VERSION,CLUSTER_TYPE,ARCHITECTURE,K8S_VERSION,OS,Kernel,runtime_type,runtime_version,TYPE_INSTALLATION,AGENT_INSTALL_METHOD
SMAGENT-4468-linux-amd64,rancher,x86_64,v1.20.4,SUSE Linux Enterprise Server 15 SP2,5.3.18-24.67-default,docker,20.10.6-ce,SLIM & AGENT,kubernetes & helm
12.5.0-rc,kops,arm64,v1.21.0,Ubuntu 20.04.4 LTS,5.13.0-1021-aws,containerd,1.4.12,AGENT,kubernetes
12.7.0-rc,,arm64,,Ubuntu 16.04.7 LTS (Xenial Xerus),4.15.0-1099-aws,docker,18.09.7,AGENT,docker
12.8.1,,x86_64,,Ubuntu 20.04.5 LTS (Focal Fossa),5.15.0-1019-aws,,,AGENT,native
12.9.0-rc3,,x86_64,,Fedora Linux 36 (Cloud Edition),5.19.13-200.fc36.x86_64,docker,20.10.18,AGENT,docker
SMAGENT-4225-linux-arm64,,arm64,,Ubuntu 22.04.1 LTS (Jammy Jellyfish),5.15.0-1023-aws,docker,20.10.12,SLIM,docker
SMAGENT-4225-linux-arm64,,arm64,,Fedora Linux 35 (Cloud Edition),6.0.8-100.fc35.aarch64,docker,20.10.21,SLIM,docker
SMAGENT-4225-linux-amd64,,x86_64,,Amazon Linux 2,5.10.149-133.644.amzn2.x86_64,docker,20.10.17,SLIM,docker
AGENT_PROBE,,,,Debian GNU/Linux 11 (bullseye),5.10.0-19-cloud-arm64,docker,20.10.5+dfsg1,,
12.9.0-rc1,,arm64,,Amazon Linux 2022,5.15.57-30.131.amzn2022.aarch64,docker,20.10.17,AGENT,docker
12.9.0-rc1,,x86_64,,Ubuntu 20.04.5 LTS (Focal Fossa),5.15.0-1019-aws,docker,20.10.12,AGENT,docker
12.9.0-rc3,,x86_64,,SLES 15-SP4,5.14.21-150400.24.21-default,docker,20.10.17-ce,AGENT,docker
12.7.0,,arm64,,Amazon Linux 2,4.14.287-215.504.amzn2.aarch64,docker,20.10.13,AGENT,docker
12.8.0-rc2,okd4,x86_64,v1.22.8+f34b40c,Red Hat Enterprise Linux CoreOS 49.84.202206302027-0 (Ootpa),4.18.0-305.49.1.el8_4.x86_64,cri-o,1.22.5-7.rhaos4.9.git3dbcd3c.el8,SLIM & AGENT,kubernetes & helm
12.9.1-rc1,gke,x86_64,v1.23.8-gke.1900,Container-Optimized OS from Google,5.10.127+,containerd,1.5.13,SLIM & AGENT,kubernetes & helm
0.4.zzhongcheng3843,okd4,x86_64,v1.24.6+5658434,Red Hat Enterprise Linux CoreOS 411.86.202212072103-0 (Ootpa),4.18.0-372.36.1.el8_6.x86_64,cri-o,1.24.3-7.rhaos4.11.gitae53655.el8,SLIM,helm
12.10.1-rc1,eks,x86_64,v1.22.15-eks-fb459a0,Amazon Linux 2,5.4.219-126.411.amzn2.x86_64,docker,20.10.17,SLIM,helm
12.10.1-rc1,okd4,x86_64,v1.24.6+5658434,Red Hat Enterprise Linux CoreOS 411.86.202211291109-0 (Ootpa),4.18.0-372.32.1.el8_6.x86_64,cri-o,1.24.3-6.rhaos4.11.gitc4567c0.el8,SLIM,helm
12.5.0,,arm64,,Amazon Linux 2,4.14.275-207.503.amzn2.aarch64,docker,20.10.13,AGENT,docker
12.10.0-rc1,kops,x86_64,v1.26.0,Ubuntu 20.04.5 LTS,5.15.0-1026-aws,containerd,1.6.10,SLIM,helm
12.10.0-rc2,kops,arm64,v1.26.0,Ubuntu 20.04.5 LTS,5.15.0-1026-aws,containerd,1.6.10,SLIM & AGENT,kubernetes & helm
12.10.0-rc2,,arm64,,Fedora Linux 36 (Cloud Edition),6.0.12-200.fc36.aarch64,docker,20.10.21,SLIM,docker
12.6.0-rc,,x86_64,,Ubuntu 18.04.6 LTS (Bionic Beaver),5.4.0-1071-aws,,,AGENT,native
12.6.0-rc,,arm64,,Red Hat Enterprise Linux 8.5 (Ootpa),4.18.0-348.23.1.el8_5.aarch64,docker,20.10.14,AGENT,docker
12.9.0-rc2,iks,x86_64,v1.23.10+IKS,Ubuntu 18.04.6 LTS,4.15.0-192-generic,containerd,1.6.8,SLIM & AGENT,kubernetes & helm
latest,k8s,x86_64,v1.21.0,Ubuntu 20.04.2 LTS,5.4.0-1038-aws,docker,20.10.6,SLIM & AGENT,kubernetes & helm
latest,,x86_64,,Debian GNU/Linux 11 (bullseye),5.10.0-18-cloud-amd64,,,AGENT,native
latest,,x86_64,,Ubuntu 20.04.5 LTS (Focal Fossa),5.15.0-1021-aws,,,AGENT,native
12.4.0-rc,,x86_64,,Fedora 34 (Cloud Edition),5.16.15-101.fc34.x86_64,docker,20.10.13,AGENT,docker
12.4.0-rc,k8s,x86_64,v1.23.0,Ubuntu 20.04.2 LTS,5.4.0-1038-aws,docker,20.10.6,SLIM & AGENT,kubernetes & helm
12.4.0-rc,roks,x86_64,v1.22.7+IKS,Ubuntu 18.04.6 LTS,4.15.0-171-generic,containerd,1.5.10,SLIM & AGENT,kubernetes & helm
12.4.0,,x86_64,,CentOS Linux 7 (Core),3.10.0-1160.62.1.el7.x86_64,docker,20.10.14,AGENT,docker
12.7.1-rc,,x86_64,,Fedora 34 (Cloud Edition),5.17.12-100.fc34.x86_64,,,AGENT,native
12.7.1-rc,kops,arm64,v1.21.0,Ubuntu 20.04.4 LTS,5.13.0-1031-aws,containerd,1.4.12,AGENT,helm
12.7.1-rc,k8s,x86_64,v1.23.0,Ubuntu 20.04.2 LTS,5.4.0-1038-aws,docker,20.10.6,SLIM & AGENT,kubernetes & helm
12.8.0,eks,x86_64,v1.22.10-eks-7dc61e8,Bottlerocket OS 1.9.0 (aws-k8s-1.22),5.10.130,containerd,1.6.6+bottlerocket,SLIM & AGENT,kubernetes & helm
12.11.0-rc2,,x86_64,,Fedora Linux 37 (Cloud Edition),6.1.8-200.fc37.x86_64,docker,20.10.23,SLIM,docker
12.11.0-rc1,,x86_64,,SLES 15-SP4,5.14.21-150400.24.41-default,docker,20.10.17-ce,SLIM,docker
0.1.driver,,x86_64,,Red Hat Enterprise Linux Server 7.9 (Maipo),3.10.0-1160.83.1.el7.x86_64,,,SLIM,native
upgrade_patchelf-linux-amd64,,x86_64,,Ubuntu 18.04.6 LTS (Bionic Beaver),5.4.0-1094-aws,docker,20.10.12,SLIM,docker
12.7.0-rc,,x86_64,,Ubuntu 22.04 LTS (Jammy Jellyfish),5.15.0-1011-aws,docker,20.10.12,AGENT,docker
SMAGENT-4468-linux-amd64,okd3,x86_64,v1.11.0+d4cacc0,CentOS Linux 7 (Core),3.10.0-1160.81.1.el7.x86_64,docker,1.13.1,SLIM & AGENT,kubernetes & helm
12.8.1,,x86_64,,Amazon Linux 2,5.10.135-122.509.amzn2.x86_64,docker,20.10.17,AGENT,docker
12.9.0-rc3,,x86_64,,Debian GNU/Linux 11 (bullseye),5.10.0-18-cloud-amd64,docker,20.10.5+dfsg1,AGENT,docker
12.9.0-rc3,,x86_64,,Red Hat Enterprise Linux Server 7.9 (Maipo),3.10.0-1160.76.1.el7.x86_64,docker,20.10.18,AGENT,docker
SMAGENT-4225-linux-arm64,,arm64,,Amazon Linux 2022,5.15.73-45.135.amzn2022.aarch64,docker,20.10.17,SLIM,docker
AGENT_PROBE,,,,Ubuntu 22.04.1 LTS (Jammy Jellyfish),5.15.0-1022-aws,docker,20.10.12,,
AGENT_PROBE,,,,Debian GNU/Linux 11 (bullseye),5.10.0-19-cloud-amd64,,,,
12.9.0-rc1,kops,x86_64,v1.24.4,Ubuntu 20.04.4 LTS,5.15.0-1017-aws,containerd,1.6.8,SLIM & AGENT,kubernetes & helm
12.9.0-rc1,roks,x86_64,v1.22.8+9e95cb9,Red Hat,3.10.0-1160.76.1.el7.x86_64,cri-o,1.22.5-9.rhaos4.9.git70fb67b.el7,SLIM & AGENT,kubernetes & helm
12.9.1-rc1,,x86_64,,Red Hat Enterprise Linux Server 7.9 (Maipo),3.10.0-1160.80.1.el7.x86_64,,,SLIM,native
SMAGENT-3959-linux-amd64,gke,x86_64,v1.22.10-gke.600,Container-Optimized OS from Google,5.10.109+,containerd,1.5.11,SLIM & AGENT,kubernetes & helm
12.8.1-rc1,okd4_z,zlinux,v1.21.8+ee73ea2,Red Hat Enterprise Linux CoreOS 48.84.202203140854-0 (Ootpa),4.18.0-305.40.2.el8_4.s390x,cri-o,1.21.5-3.rhaos4.8.gitaf64931.el8,SLIM,helm
12.10.1-rc1,kops,x86_64,v1.25.2,Ubuntu 20.04.5 LTS,5.15.0-1026-aws,containerd,1.6.10,SLIM,helm
12.9.0-rc2,kops,x86_64,v1.24.4,Ubuntu 20.04.4 LTS,5.15.0-1017-aws,containerd,1.6.8,SLIM & AGENT,kubernetes & helm
12.9.0-rc2,gke,x86_64,v1.22.12-gke.300,Container-Optimized OS from Google,5.10.127+,containerd,1.5.13,SLIM & AGENT,kubernetes & helm
12.10.1-rc1,eks,arm64,v1.22.15-eks-6d709f2,Bottlerocket OS 1.11.1 (aws-k8s-1.22),5.10.135,containerd,1.6.8+bottlerocket,SLIM,helm
12.10.0-rc1,,x86_64,,Ubuntu 20.04.5 LTS (Focal Fossa),5.15.0-1026-aws,docker,20.10.12,SLIM,docker
12.10.0-rc2,okd4,x86_64,v1.24.6+5658434,Red Hat Enterprise Linux CoreOS 411.86.202211291109-0 (Ootpa),4.18.0-372.32.1.el8_6.x86_64,cri-o,1.24.3-6.rhaos4.11.gitc4567c0.el8,SLIM & AGENT,kubernetes & helm
12.6.0-rc,gke,x86_64,v1.21.10-gke.2000,Container-Optimized OS from Google,5.4.170+,containerd,1.4.8,SLIM & AGENT,kubernetes & helm
12.6.0-rc,,x86_64,,Red Hat Enterprise Linux Server 7.9 (Maipo),3.10.0-1160.62.1.el7.x86_64,docker,20.10.14,AGENT,docker
12.6.0-rc,okd4,x86_64,v1.19.16+6175753,Red Hat Enterprise Linux CoreOS 46.82.202203141332-0 (Ootpa),4.18.0-193.79.1.el8_2.x86_64,cri-o,1.19.5-3.rhaos4.6.git91f8458.el8,SLIM & AGENT,kubernetes & helm
12.6.0,k8s,x86_64,v1.23.0,Ubuntu 20.04.2 LTS,5.4.0-1038-aws,docker,20.10.6,SLIM & AGENT,kubernetes & helm
